artist_id,artist_name,genres,popularity,followers
4KDxYlnGZEiS60pAnfZf4W,Avine Vinny,"['arrocha', 'forro', 'sertanejo pop']",60,728964
5KNNVgR6LBIABRIomyCwKJ,Dermot Kennedy,"['folk-pop', 'irish pop', 'pop']",72,1126027
4ofCBoyEiGSePFAG500xev,Regard,"['dance pop', 'edm', 'electro house', 'pop', 'pop dance', 'pop edm', 'slap house', 'tropical house']",71,189271
4ON1ruy5ijE7ZPQthbrkgI,Burak Yeter,['electro house'],58,142881
5TbLOwv8BNnik3f03NZJlt,TOKYO’S REVENGE,"['meme rap', 'vapor trap', 'viral rap']",59,400538
6QMABvTzixnxzsLYyhqRxI,Majestic,"['house', 'pop dance', 'uk dance']",65,44033
6ModsWtBph2rE6zCTVxvZt,Maite Perroni,"['latin pop', 'mexican pop']",68,1127200
7ADRm1oT7VmhRRZrZqycV6,KASIMIR1441,"['german alternative rap', 'german hip hop', 'german trap', 'tekk']",57,213639
3L58J6a7f0jyy2p6f3MSAs,Blind Channel,"['eurovision', 'oulu metal', 'trancecore']",54,156164
3ATyg4fGC9F8trfb0GRWmX,Joey Montana,"['latin', 'latin hip hop', 'latin pop', 'panamanian pop', 'pop peruano', 'pop reggaeton', 'reggaeton', 'trap latino']",63,2570440
2lolQgalUvZDfp5vvVtTYV,Tony Bennett,"['adult standards', 'easy listening', 'lounge', 'vocal jazz']",60,740253
4ytkhMSAnrDP8XzRNlw9FS,Vince Guaraldi Trio,"['adult standards', 'jazz trio']",46,112530
7d86ERlvO5UG44j7Va0Y0C,Pamungkas,"['indonesian pop', 'indonesian singer-songwriter']",67,3198328
78rUTD7y6Cy67W1RVzYs7t,PinkPantheress,['russian plugg'],69,1156591
7i9j813KFoSBMldGqlh2Z1,Riton,"['dance pop', 'edm', 'house', 'pop dance', 'tropical house', 'uk dance']",68,101640
1FtBEIWAwvw5ymBen5GICR,Chlöe,"['pop', 'r&b']",62,182929
5sRQkVexJlax2iISuqL8cV,Kalazh44,"['deep german hip hop', 'german drill', 'german hip hop', 'german underground rap']",53,135669
293zczrfYafIItmnmM3coR,Chuck Berry,"['blues rock', 'classic rock', 'rock', 'rock-and-roll', 'rockabilly']",63,1625507
